Wall time,Step,Value
1698384781.3072405,7,1.0
1698384838.0001047,15,0.875
1698384893.928118,23,1.0
1698384949.2200868,31,0.625
1698385004.4753406,39,1.0
1698385058.4978137,47,0.75
1698385111.759928,55,0.875
1698385164.5565274,63,0.875
1698385217.1376905,71,0.75
1698385269.4802184,79,0.875
1698385321.9379625,87,0.875
1698385374.419101,95,0.875
1698385426.8485844,103,0.75
1698385478.9351408,111,0.625
1698385531.0277233,119,0.875
1698385583.1845953,127,1.0
1698385635.3471365,135,0.875
1698385687.7913947,143,0.875
1698385739.7704978,151,1.0
1698385791.8729467,159,0.875
1698385843.9566047,167,0.875
1698385895.8966858,175,1.0
1698385948.2558267,183,1.0
1698386000.2712433,191,1.0
1698386052.4467213,199,0.875
1698386104.401874,207,0.875
1698386156.7434223,215,0.875
1698386209.2244503,223,0.75
1698386261.2168198,231,0.75
1698386313.6514173,239,0.875
1698386365.480138,247,0.75
1698386417.7777302,255,1.0
1698386471.1195893,263,0.625
1698386523.5911539,271,0.875
1698386576.2690704,279,0.875
1698386628.1922357,287,1.0
1698386680.5072973,295,1.0
1698386733.193845,303,0.75
1698386785.0994632,311,0.75
1698386837.2336936,319,0.75
1698386889.5885057,327,0.875
1698386941.861696,335,0.875
1698386994.3985815,343,0.875
1698387046.3417296,351,1.0
1698387098.4062202,359,0.875
1698387150.7401779,367,0.875
1698387202.6524572,375,0.875
1698387255.0279675,383,1.0
1698387307.1922703,391,1.0
1698387359.9690921,399,0.75
1698387412.2044258,407,0.875
1698387464.522774,415,0.625
1698387516.7377727,423,1.0
1698387569.1854153,431,0.875
1698387621.4315414,439,1.0
1698387673.9041815,447,0.75
1698387726.1612031,455,0.625
1698387778.210478,463,0.625
1698387830.5433419,471,0.75
1698387882.5492332,479,0.875
1698387934.4450457,487,0.75
1698387982.5683742,495,0.875
1698388031.1351886,503,1.0
1698388080.1285603,511,0.5
1698388128.9141107,519,0.875
1698388177.870562,527,0.75
1698388226.9679918,535,0.875
1698388276.0304105,543,0.875
1698388325.2034817,551,1.0
1698388374.3289075,559,0.875
1698388423.4908211,567,0.875
1698388472.9464538,575,0.875
1698388522.159837,583,0.75
1698388571.1480691,591,0.625
1698388620.369539,599,0.875
1698388669.4461324,607,0.875
1698388718.733384,615,0.75
