Wall time,Step,Value
1698177653.500866,2071,1.0
1698177713.8199213,2079,1.0
1698177773.8524246,2087,0.875
1698177833.7324607,2095,0.875
1698177893.6366584,2103,0.75
1698177953.922074,2111,1.0
1698178014.1687121,2119,1.0
1698178074.522359,2127,1.0
1698178134.775427,2135,1.0
1698178194.6859834,2143,0.875
1698178254.421427,2151,1.0
1698178314.2635245,2159,0.625
1698178374.239645,2167,0.875
1698178434.1461713,2175,1.0
1698178493.7016854,2183,0.875
1698178553.481347,2191,1.0
1698178628.4303498,2199,1.0
1698178704.718167,2207,0.875
1698178765.747962,2215,1.0
1698178826.4518864,2223,0.875
1698178886.985701,2231,0.75
1698178947.5672204,2239,1.0
1698179008.4606698,2247,0.875
1698179068.9472632,2255,1.0
1698179129.3407726,2263,0.875
1698179190.2907293,2271,1.0
1698179251.0695257,2279,1.0
1698179312.1244416,2287,1.0
1698179372.930098,2295,0.875
1698179433.7275953,2303,1.0
1698179494.5244775,2311,1.0
1698179555.372315,2319,0.875
1698179615.8583744,2327,0.875
1698179676.709784,2335,0.875
1698179737.287394,2343,1.0
1698179798.0633605,2351,0.875
1698179858.671365,2359,0.875
1698179919.0594409,2367,1.0
1698179980.1050797,2375,0.75
1698180040.7906044,2383,1.0
1698180102.1541283,2391,0.875
1698180163.1038947,2399,0.875
1698180225.456933,2407,0.875
1698180285.8132834,2415,1.0
1698180345.6408255,2423,1.0
1698180405.2997432,2431,0.75
1698180465.3893793,2439,1.0
1698180525.2229154,2447,0.75
1698180585.1434863,2455,0.875
1698180644.7488377,2463,0.875
1698180704.3011227,2471,1.0
1698180766.63252,2479,1.0
1698180827.135896,2487,1.0
1698180889.4926112,2495,0.875
1698180951.8362901,2503,0.75
1698181013.9698267,2511,1.0
1698181076.3133545,2519,0.875
1698181138.6755164,2527,1.0
1698181200.8709388,2535,1.0
1698181262.869733,2543,0.875
1698181325.4962094,2551,1.0
1698181387.86779,2559,1.0
1698181449.8727777,2567,0.875
1698181511.5462446,2575,0.875
1698181573.7598853,2583,0.75
1698181636.1464288,2591,1.0
1698181698.387737,2599,1.0
1698181760.5565305,2607,1.0
